indiv,geography,seqtot,distance,NS1NS2,site_mission
M578,allo,R.pumilio.nord,4.12310562562,SA4_NS2_novb12/SA4B_NS2_novb12,SAN_1_4_5_1G_8_novb12
M578,allo,R.pumilio.nord,19.1049731745,SA4_NS2_novb12/SA4_NS4_novb12,SAN_1_4_5_1G_8_novb12
M578,allo,R.pumilio.nord,15.0332963784,SA4B_NS2_novb12/SA4_NS4_novb12,SAN_1_4_5_1G_8_novb12
M576,allo,R.d.dilectus,5,BL3_NS2_novb12/BL3_NS23_novb12,BL3_novb12
M576,allo,R.d.dilectus,11.1803398875,BL3_NS2_novb12/BL3_NS27_novb12,BL3_novb12
M576,allo,R.d.dilectus,6.32455532034,BL3_NS23_novb12/BL3_NS27_novb12,BL3_novb12
M574,allo,R.pumilio.nord,118.105884697,SA4_NS3_novb12/SA4_NS9_novb12,SAN_1_4_5_1G_8_novb12
M574,allo,R.pumilio.nord,139.230025497,SA4_NS3_novb12/SA4_NS11_novb12,SAN_1_4_5_1G_8_novb12
M574,allo,R.pumilio.nord,65.4599113962,SA4_NS3_novb12/SA4B_NST9_novb12,SAN_1_4_5_1G_8_novb12
M574,allo,R.pumilio.nord,73.7360156233,SA4_NS3_novb12/SA4_NS5_novb12,SAN_1_4_5_1G_8_novb12
M574,allo,R.pumilio.nord,21.2132034356,SA4_NS9_novb12/SA4_NS11_novb12,SAN_1_4_5_1G_8_novb12
M574,allo,R.pumilio.nord,58.2408791142,SA4_NS9_novb12/SA4B_NST9_novb12,SAN_1_4_5_1G_8_novb12
M574,allo,R.pumilio.nord,53.310411741,SA4_NS9_novb12/SA4_NS5_novb12,SAN_1_4_5_1G_8_novb12
M574,allo,R.pumilio.nord,78.0896920214,SA4_NS11_novb12/SA4B_NST9_novb12,SAN_1_4_5_1G_8_novb12
M574,allo,R.pumilio.nord,72.2772439984,SA4_NS11_novb12/SA4_NS5_novb12,SAN_1_4_5_1G_8_novb12
M574,allo,R.pumilio.nord,8.60232526704,SA4B_NST9_novb12/SA4_NS5_novb12,SAN_1_4_5_1G_8_novb12
M570,allo,R.pumilio.nord,43.0116263352,SA5_NS7_novb12/SA5_NS6_novb12,SAN_1_4_5_1G_8_novb12
M570,allo,R.pumilio.nord,80.0562302385,SA5_NS7_novb12/SA5_NS2_novb12,SAN_1_4_5_1G_8_novb12
M570,allo,R.pumilio.nord,47,SA5_NS6_novb12/SA5_NS2_novb12,SAN_1_4_5_1G_8_novb12
M569,allo,R.pumilio.nord,13.0384048104,SA4_NS10_novb12/SA4B_NST2_novb12,SAN_1_4_5_1G_8_novb12
M569,allo,R.pumilio.nord,22.803508502,SA4_NS10_novb12/SA4_NS12_novb12,SAN_1_4_5_1G_8_novb12
M569,allo,R.pumilio.nord,24.8394846967,SA4_NS10_novb12/SA4_NS7_novb12,SAN_1_4_5_1G_8_novb12
M569,allo,R.pumilio.nord,31.9061122671,SA4B_NST2_novb12/SA4_NS12_novb12,SAN_1_4_5_1G_8_novb12
M569,allo,R.pumilio.nord,34.1320963318,SA4B_NST2_novb12/SA4_NS7_novb12,SAN_1_4_5_1G_8_novb12
M569,allo,R.pumilio.nord,2.2360679775,SA4_NS12_novb12/SA4_NS7_novb12,SAN_1_4_5_1G_8_novb12
M568,allo,R.pumilio.nord,40.2616442784,SA1_NS2_novb12/SA1_NS1_novb12,SAN_1_4_5_1G_8_novb12
M568,allo,R.pumilio.nord,42.4499705536,SA1_NS2_novb12/SA1B_NS1_novb12,SAN_1_4_5_1G_8_novb12
M568,allo,R.pumilio.nord,2.2360679775,SA1_NS1_novb12/SA1B_NS1_novb12,SAN_1_4_5_1G_8_novb12
M563,allo,R.pumilio.nord,6,SA5_NS10_novb12/SA5_NS3_novb12,SAN_1_4_5_1G_8_novb12
M561,allo,R.pumilio.nord,11.7046999107,SA5_NS11_novb12/SA5_NS2_novb12,SAN_1_4_5_1G_8_novb12
M561,allo,R.pumilio.nord,49.3963561409,SA5_NS11_novb12/SA5_NS8_novb12,SAN_1_4_5_1G_8_novb12
M561,allo,R.pumilio.nord,57.1401785086,SA5_NS11_novb12/SA5_NS1_novb12,SAN_1_4_5_1G_8_novb12
M561,allo,R.pumilio.nord,76.8374908492,SA5_NS11_novb12/SA5_NS4_novb12,SAN_1_4_5_1G_8_novb12
M561,allo,R.pumilio.nord,42.5793377121,SA5_NS2_novb12/SA5_NS8_novb12,SAN_1_4_5_1G_8_novb12
M561,allo,R.pumilio.nord,48.3321838944,SA5_NS2_novb12/SA5_NS1_novb12,SAN_1_4_5_1G_8_novb12
M561,allo,R.pumilio.nord,67.1192967782,SA5_NS2_novb12/SA5_NS4_novb12,SAN_1_4_5_1G_8_novb12
M561,allo,R.pumilio.nord,13.152946438,SA5_NS8_novb12/SA5_NS1_novb12,SAN_1_4_5_1G_8_novb12
M561,allo,R.pumilio.nord,33.1058907145,SA5_NS8_novb12/SA5_NS4_novb12,SAN_1_4_5_1G_8_novb12
M561,allo,R.pumilio.nord,20.8086520467,SA5_NS1_novb12/SA5_NS4_novb12,SAN_1_4_5_1G_8_novb12
M556,allo,R.pumilio.nord,5,SA10_NS2_novb12/SA10_NS1_novb12,SAN10_novb12
M553,allo,R.d.dilectus,10.6301458127,BL1_NS1_novb12/BL1_NS5_novb12,BL1_novb12
M553,allo,R.d.dilectus,12.5299640861,BL1_NS1_novb12/BL1_NS13_novb12,BL1_novb12
M553,allo,R.d.dilectus,31.9061122671,BL1_NS1_novb12/BL1_NS2_novb12,BL1_novb12
M553,allo,R.d.dilectus,69.1158447825,BL1_NS1_novb12/BL1_NS12_novb12,BL1_novb12
M553,allo,R.d.dilectus,3.16227766017,BL1_NS5_novb12/BL1_NS13_novb12,BL1_novb12
M553,allo,R.d.dilectus,30.61045573,BL1_NS5_novb12/BL1_NS2_novb12,BL1_novb12
M553,allo,R.d.dilectus,66.7083203206,BL1_NS5_novb12/BL1_NS12_novb12,BL1_novb12
M553,allo,R.d.dilectus,28.0178514522,BL1_NS13_novb12/BL1_NS2_novb12,BL1_novb12
M553,allo,R.d.dilectus,63.7808748764,BL1_NS13_novb12/BL1_NS12_novb12,BL1_novb12
M553,allo,R.d.dilectus,37.2155881319,BL1_NS2_novb12/BL1_NS12_novb12,BL1_novb12
M552,allo,R.d.dilectus,28.0178514522,BL1_NS13_novb12/BL1_NS2_novb12,BL1_novb12
M551,allo,R.d.dilectus,11.1803398875,BL1_NS1_novb12/BL1_NS11_novb12,BL1_novb12
M551,allo,R.d.dilectus,7.21110255093,BL1_NS1_novb12/BL1_NS6_novb12,BL1_novb12
M551,allo,R.d.dilectus,12.5299640861,BL1_NS1_novb12/BL1_NS13_novb12,BL1_novb12
M551,allo,R.d.dilectus,130.698125465,BL1_NS1_novb12/BL1_NS3_novb12,BL1_novb12
M551,allo,R.d.dilectus,14.0356688476,BL1_NS11_novb12/BL1_NS6_novb12,BL1_novb12
M551,allo,R.d.dilectus,7.21110255093,BL1_NS11_novb12/BL1_NS13_novb12,BL1_novb12
M551,allo,R.d.dilectus,139.917833031,BL1_NS11_novb12/BL1_NS3_novb12,BL1_novb12
M551,allo,R.d.dilectus,11.1803398875,BL1_NS6_novb12/BL1_NS13_novb12,BL1_novb12
M551,allo,R.d.dilectus,125.89678312,BL1_NS6_novb12/BL1_NS3_novb12,BL1_novb12
M551,allo,R.d.dilectus,135.369863707,BL1_NS13_novb12/BL1_NS3_novb12,BL1_novb12
M55,symp,R.pumilio.nord,125.015998976,CC_novb11/AV_novb11,SAN_1_4_5_1G_8_novb11
M55,symp,R.pumilio.nord,149.053681605,CC_novb11/AX_novb11,SAN_1_4_5_1G_8_novb11
M55,symp,R.pumilio.nord,134.372616258,CC_novb11/BN_novb11,SAN_1_4_5_1G_8_novb11
M55,symp,R.pumilio.nord,59.5063021872,CC_novb11/AT_novb11,SAN_1_4_5_1G_8_novb11
M55,symp,R.pumilio.nord,131.897687622,CC_novb11/CB_novb11,SAN_1_4_5_1G_8_novb11
M55,symp,R.pumilio.nord,109.60383205,CC_novb11/AU_novb11,SAN_1_4_5_1G_8_novb11
M55,symp,R.pumilio.nord,24.0831891576,AV_novb11/AX_novb11,SAN_1_4_5_1G_8_novb11
M55,symp,R.pumilio.nord,12.0415945788,AV_novb11/BN_novb11,SAN_1_4_5_1G_8_novb11
M55,symp,R.pumilio.nord,74.6324326282,AV_novb11/AT_novb11,SAN_1_4_5_1G_8_novb11
M55,symp,R.pumilio.nord,37.0135110466,AV_novb11/CB_novb11,SAN_1_4_5_1G_8_novb11
M55,symp,R.pumilio.nord,88.5098864534,AV_novb11/AU_novb11,SAN_1_4_5_1G_8_novb11
M55,symp,R.pumilio.nord,16.1554944214,AX_novb11/BN_novb11,SAN_1_4_5_1G_8_novb11
M55,symp,R.pumilio.nord,97.2933707916,AX_novb11/AT_novb11,SAN_1_4_5_1G_8_novb11
M55,symp,R.pumilio.nord,41.8807831827,AX_novb11/CB_novb11,SAN_1_4_5_1G_8_novb11
M55,symp,R.pumilio.nord,101.833196945,AX_novb11/AU_novb11,SAN_1_4_5_1G_8_novb11
M55,symp,R.pumilio.nord,81.3941029805,BN_novb11/AT_novb11,SAN_1_4_5_1G_8_novb11
M55,symp,R.pumilio.nord,30.083217913,BN_novb11/CB_novb11,SAN_1_4_5_1G_8_novb11
M55,symp,R.pumilio.nord,87.3212459829,BN_novb11/AU_novb11,SAN_1_4_5_1G_8_novb11
M55,symp,R.pumilio.nord,73.3484832836,AT_novb11/CB_novb11,SAN_1_4_5_1G_8_novb11
M55,symp,R.pumilio.nord,57.2712842531,AT_novb11/AU_novb11,SAN_1_4_5_1G_8_novb11
M55,symp,R.pumilio.nord,61.2209114601,CB_novb11/AU_novb11,SAN_1_4_5_1G_8_novb11
M54,symp,R.d.dilectus,9.21954445729,AE_novb11/AF_novb11,SAN2_RHINO_novb11
M483,allo,R.pumilio.nord,19.2353840617,TDR6_NS28_novb12/TDR6_NS30_novb12,TDR6_novb12
M483,allo,R.pumilio.nord,20.2484567313,TDR6_NS28_novb12/TDR6_NS24_novb12,TDR6_novb12
M483,allo,R.pumilio.nord,39.5979797464,TDR6_NS28_novb12/TDR6_NS23_novb12,TDR6_novb12
M483,allo,R.pumilio.nord,2.82842712475,TDR6_NS30_novb12/TDR6_NS24_novb12,TDR6_novb12
M483,allo,R.pumilio.nord,21.9544984001,TDR6_NS30_novb12/TDR6_NS23_novb12,TDR6_novb12
M483,allo,R.pumilio.nord,22.8473193176,TDR6_NS24_novb12/TDR6_NS23_novb12,TDR6_novb12
M482,allo,R.pumilio.nord,NA,NA,TDR6_novb12
M472,allo,R.pumilio.nord,0,TDR6_NS20_novb12/TDR6_NS21_novb12,TDR6_novb12
M472,allo,R.pumilio.nord,1,TDR6_NS20_novb12/TDR6_NS11_novb12,TDR6_novb12
M472,allo,R.pumilio.nord,1,TDR6_NS21_novb12/TDR6_NS11_novb12,TDR6_novb12
M468,allo,R.pumilio.nord,74.0067564483,TDR6_NS18_novb12/TDR6_NS31_novb12,TDR6_novb12
M468,allo,R.pumilio.nord,47.0956473573,TDR6_NS18_novb12/TDR8_NS4_novb12,TDR6_novb12
M468,allo,R.pumilio.nord,50.1597448159,TDR6_NS18_novb12/TDR6_NS4_novb12,TDR6_novb12
M468,allo,R.pumilio.nord,27.0739727414,TDR6_NS31_novb12/TDR8_NS4_novb12,TDR6_novb12
M468,allo,R.pumilio.nord,24.1867732449,TDR6_NS31_novb12/TDR6_NS4_novb12,TDR6_novb12
M468,allo,R.pumilio.nord,3.16227766017,TDR8_NS4_novb12/TDR6_NS4_novb12,TDR6_novb12
M464,allo,R.pumilio.nord,33.3766385366,TDR6_NS6_novb12/TDR6_NS15_novb12,TDR6_novb12
M464,allo,R.pumilio.nord,51.8844870843,TDR6_NS6_novb12/TDR6_NS5_novb12,TDR6_novb12
M464,allo,R.pumilio.nord,51.8844870843,TDR6_NS6_novb12/TDR8_NS5_novb12,TDR6_novb12
M464,allo,R.pumilio.nord,70.2139587262,TDR6_NS15_novb12/TDR6_NS5_novb12,TDR6_novb12
M464,allo,R.pumilio.nord,70.2139587262,TDR6_NS15_novb12/TDR8_NS5_novb12,TDR6_novb12
M464,allo,R.pumilio.nord,0,TDR6_NS5_novb12/TDR8_NS5_novb12,TDR6_novb12
M455,allo,R.pumilio.nord,9.21954445729,TDR6_NS16_novb12/TDR6_NS29_novb12,TDR6_novb12
M455,allo,R.pumilio.nord,30.8058436015,TDR6_NS16_novb12/TDR6_NS1_novb12,TDR6_novb12
M455,allo,R.pumilio.nord,22.627416998,TDR6_NS29_novb12/TDR6_NS1_novb12,TDR6_novb12
M452,allo,R.pumilio.nord,38.0788655293,TDR6_NS8_novb12/TDR6_NS22_novb12,TDR6_novb12
M452,allo,R.pumilio.nord,28.6006992922,TDR6_NS8_novb12/TDR6_NS2_novb12,TDR6_novb12
M452,allo,R.pumilio.nord,19.6977156036,TDR6_NS22_novb12/TDR6_NS2_novb12,TDR6_novb12
M451,allo,R.pumilio.nord,NA,NA,TDR6_novb12
M410,symp,R.d.dilectus,10,SO15_NSBB_novb12/SO15_NS3_novb12,SO15_novb12
M410,symp,R.d.dilectus,9.89949493661,SO15_NSBB_novb12/SO15_NS5_novb12,SO15_novb12
