indiv;date;date_mission;site_mission;seqtot;sexe;NS_name_mission;geography;x;y;nuit
M592;15/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS8C_novb12;allo;371411;6946590;6
M592;17/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS8C_novb12;allo;371411;6946590;6
M592;13/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS5C_novb12;allo;371408;6946598;6
M592;14/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS5C_novb12;allo;371408;6946598;6
M591;13/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS6C_novb12;allo;371581;6946674;5
M591;14/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS9N_novb12;allo;371478;6946622;5
M591;12/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS2C_novb12;allo;371450;6946615;5
M591;15/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS2C_novb12;allo;371450;6946615;5
M591;16/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS2C_novb12;allo;371450;6946615;5
M590;12/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS4C_novb12;allo;371492;6946635;5
M590;14/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS10N_novb12;allo;371490;6946641;5
M590;17/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS10N_novb12;allo;371490;6946641;5
M590;13/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS7C_novb12;allo;371477;6946624;5
M590;15/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS7C_novb12;allo;371477;6946624;5
M588;11/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS3_novb12;allo;370550;6945742;7
M588;05/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS7_novb12;allo;370526;6945687;7
M588;09/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS91112-1_novb12;allo;370522;6945686;7
M588;06/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS13_novb12;allo;370520;6945687;7
M588;07/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS13_novb12;allo;370520;6945687;7
M588;10/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS19_novb12;allo;370515;6945685;7
M588;08/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS8_novb12;allo;370514;6945684;7
M587;14/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS6N_novb12;allo;371632;6946648;7
M587;13/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS4N_novb12;allo;371623;6946651;7
M587;15/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS11C_novb12;allo;371589;6946670;7
M587;17/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS11C_novb12;allo;371589;6946670;7
M587;12/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS6C_novb12;allo;371581;6946674;7
M587;18/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NST22_novb12;allo;371560;6946663;7
