site_mission seqtot geography distance
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 46.0434577329
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 50.4777178565
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 10.295630141
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 28.2842712475
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 32.5576411922
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 21.0237960416
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 25.495097568
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 4.472135955
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 43.965895874
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 13
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 36.0693775937
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 42
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 20
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 28.6356421266
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 22.825424421
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 18.0277563773
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 22.0227155455
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 10.7703296143
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 34.5253530033
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 24.0831891576
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 6.0827625303
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 27.2946881279
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 21.6333076528
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 7.28010988928
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 16.2788205961
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 10.7703296143
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 6.0827625303
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 11.6619037897
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 32.5729949498
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 6.40312423743
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 34
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 32.0156211872
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 0
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 13.152946438
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 6.7082039325
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 16.2788205961
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 50.0899191455
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 7.07106781187
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 17.2046505341
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 43.931765273
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 13.3416640641
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 44.9444101085
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 34.6698716467
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 6.0827625303
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 66.1286624695
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 67.5425791631
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 38.6393581727
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 125.015998976
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 149.053681605
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 134.372616258
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 59.5063021872
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 131.897687622
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 109.60383205
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 24.0831891576
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 12.0415945788
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 74.6324326282
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 37.0135110466
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 88.5098864534
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 16.1554944214
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 97.2933707916
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 41.8807831827
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 101.833196945
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 81.3941029805
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 30.083217913
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 87.3212459829
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 73.3484832836
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 57.2712842531
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 61.2209114601
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 18.4390889146
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 26.5706605112
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 26.4196896272
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 12.0415945788
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 24.7588368063
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 28.3019433962
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 37.6430604494
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 18.973665961
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 18.4390889146
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 26
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 32.5576411922
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 33.2866339542
SAN_1_4_5_1G_8_novb11 R.d.dilectus symp 12.6491106407
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 25.495097568
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 19.1049731745
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 25.495097568
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 9.21954445729
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 61.0327780787
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 43.4165866922
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 50.2891638427
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 44.1021541424
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 10.295630141
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 18.973665961
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 14.2126704036
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 8.94427191
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 63.5059052372
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 54.5618914628
SAN_1_4_5_1G_8_novb12 R.pumilio.nord allo 11.7046999107
