indiv,INNS,night,site_mission,seqtot,sexe,geography,NS1NS2,distance
F585,4,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS91112-2_novb12/BL3_NS11_novb12,4.472135955
F589,5,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS6_novb12/BL3_NS101112-2_novb12,4.24264068712
F589,5,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS6_novb12/BL3_NS13_novb12,5.09901951359
F589,5,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS6_novb12/BL3_NS19_novb12,10.4403065089
F589,5,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS6_novb12/BL3_NS8_novb12,11.7046999107
F589,5,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS101112-2_novb12/BL3_NS13_novb12,4.472135955
F589,5,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS101112-2_novb12/BL3_NS19_novb12,9.21954445729
F589,5,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS101112-2_novb12/BL3_NS8_novb12,10.6301458127
F589,5,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS13_novb12/BL3_NS19_novb12,5.38516480713
F589,5,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS13_novb12/BL3_NS8_novb12,6.7082039325
F589,5,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS19_novb12/BL3_NS8_novb12,1.41421356237
F593,4,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS7_novb12/BL3_NS20_novb12,7.21110255093
F593,4,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS7_novb12/BL3_NS13_novb12,6
F593,4,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS7_novb12/BL3_NS111112-2_novb12,13.3416640641
F593,4,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS20_novb12/BL3_NS13_novb12,6.32455532034
F593,4,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS20_novb12/BL3_NS111112-2_novb12,9.48683298051
F593,4,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS13_novb12/BL3_NS111112-2_novb12,7.61577310586
F595,5,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS26_novb12/BL3_NS1_novb12,2.2360679775
F595,5,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS26_novb12/BL3_NS111112-3_novb12,8.0622577483
F595,5,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS26_novb12/BL3_NS16_novb12,5.83095189485
F595,5,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS26_novb12/BL3_NS23_novb12,7.81024967591
F595,5,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS1_novb12/BL3_NS111112-3_novb12,6
F595,5,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS1_novb12/BL3_NS16_novb12,3.60555127546
F595,5,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS1_novb12/BL3_NS23_novb12,5.83095189485
F595,5,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS111112-3_novb12/BL3_NS16_novb12,3.60555127546
F595,5,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS111112-3_novb12/BL3_NS23_novb12,5.83095189485
F595,5,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS16_novb12/BL3_NS23_novb12,3
M576,3,6,BL3_novb12,R.d.dilectus,M,allo,BL3_NS2_novb12/BL3_NS23_novb12,5
M576,3,6,BL3_novb12,R.d.dilectus,M,allo,BL3_NS2_novb12/BL3_NS27_novb12,11.1803398875
M576,3,6,BL3_novb12,R.d.dilectus,M,allo,BL3_NS23_novb12/BL3_NS27_novb12,6.32455532034
M588,6,7,BL3_novb12,R.d.dilectus,M,allo,BL3_NS3_novb12/BL3_NS7_novb12,60.0083327547
M588,6,7,BL3_novb12,R.d.dilectus,M,allo,BL3_NS3_novb12/BL3_NS91112-1_novb12,62.60990337
M588,6,7,BL3_novb12,R.d.dilectus,M,allo,BL3_NS3_novb12/BL3_NS13_novb12,62.6498204307
M588,6,7,BL3_novb12,R.d.dilectus,M,allo,BL3_NS3_novb12/BL3_NS19_novb12,66.8879660328
M588,6,7,BL3_novb12,R.d.dilectus,M,allo,BL3_NS3_novb12/BL3_NS8_novb12,68.2641926635
M588,6,7,BL3_novb12,R.d.dilectus,M,allo,BL3_NS7_novb12/BL3_NS91112-1_novb12,4.12310562562
M588,6,7,BL3_novb12,R.d.dilectus,M,allo,BL3_NS7_novb12/BL3_NS13_novb12,6
M588,6,7,BL3_novb12,R.d.dilectus,M,allo,BL3_NS7_novb12/BL3_NS19_novb12,11.1803398875
M588,6,7,BL3_novb12,R.d.dilectus,M,allo,BL3_NS7_novb12/BL3_NS8_novb12,12.3693168769
M588,6,7,BL3_novb12,R.d.dilectus,M,allo,BL3_NS91112-1_novb12/BL3_NS13_novb12,2.2360679775
M588,6,7,BL3_novb12,R.d.dilectus,M,allo,BL3_NS91112-1_novb12/BL3_NS19_novb12,7.07106781187
M588,6,7,BL3_novb12,R.d.dilectus,M,allo,BL3_NS91112-1_novb12/BL3_NS8_novb12,8.24621125124
M588,6,7,BL3_novb12,R.d.dilectus,M,allo,BL3_NS13_novb12/BL3_NS19_novb12,5.38516480713
M588,6,7,BL3_novb12,R.d.dilectus,M,allo,BL3_NS13_novb12/BL3_NS8_novb12,6.7082039325
M588,6,7,BL3_novb12,R.d.dilectus,M,allo,BL3_NS19_novb12/BL3_NS8_novb12,1.41421356237
M594,3,5,BL3_novb12,R.d.dilectus,M,allo,BL3_NS18_novb12/BL3_NS24_novb12,7.21110255093
M594,3,5,BL3_novb12,R.d.dilectus,M,allo,BL3_NS18_novb12/BL3_NS29_novb12,12.2065556157
M594,3,5,BL3_novb12,R.d.dilectus,M,allo,BL3_NS24_novb12/BL3_NS29_novb12,6.0827625303
M600,3,6,BL3_novb12,R.d.dilectus,M,allo,BL3_NST13_novb12/BL3_NS17_novb12,5.83095189485
M600,3,6,BL3_novb12,R.d.dilectus,M,allo,BL3_NST13_novb12/BL3_NS31_novb12,8.24621125124
M600,3,6,BL3_novb12,R.d.dilectus,M,allo,BL3_NS17_novb12/BL3_NS31_novb12,5.83095189485
M601,3,5,BL3_novb12,R.d.dilectus,M,allo,BL3_NS30_novb12/BL3_NS28_novb12,4.472135955
M601,3,5,BL3_novb12,R.d.dilectus,M,allo,BL3_NS30_novb12/BL3_NS37_novb12,13.6014705087
